pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
123.6,-104.7,180.0,top,AE1,,,0479480001,Antenna,tht
127.6,-100.1,180.0,top,C1,,,C_0402_1005Metric,2.2uF,smt
124.6,-101.2,0.0,top,C10,,,C_0402_1005Metric,TBD,smt
124.6,-102.2,0.0,top,C11,,,C_0402_1005Metric,TBD,smt
113.8,-96.2,90.0,top,C12,,,C_0402_1005Metric,100n,smt
114.0,-104.0,-90.0,top,C13,,,C_0402_1005Metric,100n,smt
121.7,-94.4,0.0,top,C14,,,C_0603_1608Metric,10u,smt
125.0,-100.2,0.0,top,C15,,,C_0402_1005Metric,100n,smt
120.8,-103.7,0.0,top,C16,,,C_0201_0603Metric,3.3nF,smt
121.2,-105.7,90.0,top,C17,,,C_0402_1005Metric,10nF,smt
108.52,-103.53,0.0,top,C18,,,C_0402_1005Metric,0.1uF,smt
123.2,-99.2,90.0,top,C19,,,C_0603_1608Metric,10u,smt
129.6,-100.1,0.0,top,C2,,,C_0402_1005Metric,2.2uF,smt
108.5,-104.5,0.0,top,C20,,,C_0402_1005Metric,4.7uF,smt
115.5,-105.1,-90.0,top,C3,,,C_0402_1005Metric,18pF,smt
120.2,-105.7,90.0,top,C4,,,C_0402_1005Metric,18pF,smt
101.1,-106.7,-90.0,top,C5,,,C_0603_1608Metric,10u,smt
107.7,-105.9,90.0,top,C6,,,C_0402_1005Metric,22pF,smt
108.9,-105.9,90.0,top,C7,,,C_0402_1005Metric,2.2uF,smt
119.5,-94.0,90.0,top,C9,,,C_0402_1005Metric,100n,smt
105.5,-92.7,90.0,top,D1,,,LED_0603_1608Metric_Compact,RED,smt
108.2,-92.8,90.0,top,D2,,,LED_0603_1608Metric_Compact,GRN,smt
102.7,-92.8,90.0,top,D3,,,LED_0603_1608Metric_Compact,BLU,smt
117.8,-92.1,-90.0,top,D4,,,LED_Lumex_SML-LX0303SIUPGUSB,FM-B2020RGBA-HG,smt
102.4,-99.5,-90.0,top,J1,,,USB_C_Receptacle_HRO_TYPE-C-31-M-12,USB_C,smt
106.6,-107.8,0.0,top,L1,,,L_0805_2012Metric,2.2uH,smt
123.1,-101.7,-90.0,top,L2,,,L_0402_1005Metric,TBD,smt
121.8,-107.7,0.0,top,P10,,,Pin_Header_Straight_Round_1x01_Castellated,10,tht
124.3,-107.7,0.0,top,P11,,,Pin_Header_Straight_Round_1x01_Castellated,11,tht
126.8,-107.7,0.0,top,P12,,,Pin_Header_Straight_Round_1x01_Castellated,12,tht
131.7,-92.4,180.0,top,P13,,,Pin_Header_Straight_Round_1x01_Castellated,13,tht
134.3,-92.4,180.0,top,P14,,,Pin_Header_Straight_Round_1x01_Castellated,14,tht
121.6,-92.4,180.0,top,P15,,,Pin_Header_Straight_Round_1x01_Castellated,15,tht
126.67,-92.38,180.0,top,P16,,,Pin_Header_Straight_Round_1x01_Castellated,16,tht
124.13,-92.38,180.0,top,P17,,,Pin_Header_Straight_Round_1x01_Castellated,17,tht
129.2,-92.38,180.0,top,P18,,,Pin_Header_Straight_Round_1x01_Castellated,18,tht
134.29,-100.0,90.0,top,P25,,,Pin_Header_Straight_Round_1x01_Castellated,GND,tht
134.29,-102.54,90.0,top,P28,,,Pin_Header_Straight_Round_1x01_Castellated,3V3,tht
134.29,-94.92,90.0,top,P30,,,Pin_Header_Straight_Round_1x01_Castellated,CDONE,tht
134.29,-97.46,90.0,top,P31,,,Pin_Header_Straight_Round_1x01_Castellated,CRESET,tht
129.3,-107.7215,0.0,top,P7,,,Pin_Header_Straight_Round_1x01_Castellated,7,tht
131.8,-107.7215,0.0,top,P8,,,Pin_Header_Straight_Round_1x01_Castellated,8,tht
134.3,-107.7215,0.0,top,P9,,,Pin_Header_Straight_Round_1x01_Castellated,9,tht
114.1,-93.3,90.0,top,Q1,,,SOT95P240X115-3N,SS8050-G,smt
110.6,-93.3,90.0,top,Q2,,,SOT95P240X115-3N,SS8050-G,smt
113.8,-105.6,180.0,top,R1,,,R_0402_1005Metric,10k,smt
111.6,-105.6,180.0,top,R10,,,R_0402_1005Metric,10k,smt
104.0,-92.7,-90.0,top,R11,,,R_0402_1005Metric,330E,smt
106.8,-92.7,-90.0,top,R12,,,R_0402_1005Metric,330E,smt
101.2,-92.8,-90.0,top,R13,,,R_0402_1005Metric,2k2,smt
116.4,-92.6,90.0,top,R14,,,R_0402_1005Metric,2k2,smt
120.7,-104.4,180.0,top,R15,,,R_0402_1005Metric,20K,smt
110.8,-104.1,-90.0,top,R16,,,R_0402_1005Metric,22.1K,smt
109.8,-104.1,90.0,top,R17,,,R_0402_1005Metric,47.5K,smt
111.9,-104.1,-90.0,top,R18,,,R_0402_1005Metric,2K,smt
112.4,-96.2,180.0,top,R20,,,R_0402_1005Metric,10K,smt
110.4,-96.2,0.0,top,R21,,,R_0402_1005Metric,10K,smt
112.9,-104.1,90.0,top,R22,,,R_0402_1005Metric,10K,smt
118.3,-94.0,90.0,top,R6,,,R_0402_1005Metric,2k2,smt
106.6,-105.9,90.0,top,R7,,,R_0402_1005Metric,453k,smt
105.4,-105.9,-90.0,top,R8,,,R_0402_1005Metric,100k,smt
117.4,-94.0,90.0,top,R9,,,R_0402_1005Metric,2k2,smt
134.3,-105.2,0.0,top,RN1,,,R_Array_Convex_4x0402,10k,smt
111.5,-107.7,180.0,top,SW1,,,EVPBB2A9B000,TACT,smt
115.5,-107.8,0.0,top,SW2,,,EVPBB2A9B000,TACT,smt
129.4,-103.5,180.0,top,U2,,,SOIC-8_3.9x4.9mm_P1.27mm,LY68L6400SLIT,smt
118.4,-99.3,180.0,top,U3,,QFN-48,QFN48P700X700X90-49N,ESP32-D0WD,smt
128.6,-96.7,180.0,top,U4,,,SOIC-8_5.23x5.23mm_P1.27mm,W25Q128JV,smt
103.3,-106.4,180.0,top,U5,,,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,TPS62290,smt
111.0,-100.0,0.0,top,U7,,,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,CP2102N-Axx-xQFN28,smt
117.9,-105.0,-90.0,top,Y1,,,Crystal_SMD_Abracon_ABM10-4Pin_2.5x2.0mm,40MHz,smt
